J64X;NEUMOCONIOSIS-NO ESPECIFICADA;NEUMOCONIOSIS-NO ESPECIFICADA;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J64;10;A
J65X;NEUMOCONIOSIS ASOCIADA CON TUBERCULOSIS;NEUMOCONIOSIS ASOCIADA CON TUBERCULOSIS;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J65;10;A
J660;BISINOSIS;ENFERMEDADES DE LAS VIAS AEREAS DEBIDAS A POLVOS ORGANICOS ESPECIFICOS;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J66;10;A
J661;ENFERMEDAD DE LOS TRABAJADORES DEL LINO;ENFERMEDADES DE LAS VIAS AEREAS DEBIDAS A POLVOS ORGANICOS ESPECIFICOS;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J66;10;A
J662;CANABINOSIS;ENFERMEDADES DE LAS VIAS AEREAS DEBIDAS A POLVOS ORGANICOS ESPECIFICOS;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J66;10;A
J668;ENFERMEDAD DE LAS VIAS AEREAS DEBIDA A OTROS POLVOS ORGANICOS ESPECIFICOS;ENFERMEDADES DE LAS VIAS AEREAS DEBIDAS A POLVOS ORGANICOS ESPECIFICOS;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J66;10;A
J670;PULMON DEL GRANJERO;NEUMONITIS DEBIDA A HIPERSENSIBILIDAD AL POLVO ORGANICO;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J67;10;A
J671;BAGAZOSIS;NEUMONITIS DEBIDA A HIPERSENSIBILIDAD AL POLVO ORGANICO;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J67;10;A
J672;PULMON DEL ORNITOFILO;NEUMONITIS DEBIDA A HIPERSENSIBILIDAD AL POLVO ORGANICO;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J67;10;A
J673;SUBEROSIS;NEUMONITIS DEBIDA A HIPERSENSIBILIDAD AL POLVO ORGANICO;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J67;10;A
J674;PULMON DEL MANIPULADOR DE MALTA;NEUMONITIS DEBIDA A HIPERSENSIBILIDAD AL POLVO ORGANICO;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J67;10;A
J675;PULMON DEL MANIPULADOR DE HONGOS;NEUMONITIS DEBIDA A HIPERSENSIBILIDAD AL POLVO ORGANICO;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J67;10;A
J676;PULMON DEL DESCORTEZADOR DEL ARCE;NEUMONITIS DEBIDA A HIPERSENSIBILIDAD AL POLVO ORGANICO;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J67;10;A
J677;NEUMONITIS DE LA VENTILACION DEBIDA AL ACONDICIONADOR Y HUMIDIFICADOR DEL AIRE;NEUMONITIS DEBIDA A HIPERSENSIBILIDAD AL POLVO ORGANICO;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J67;10;A
J678;NEUMONITIS DEBIDAS A HIPERSENSIBILIDAD A OTROS POLVOS ORGANICOS;NEUMONITIS DEBIDA A HIPERSENSIBILIDAD AL POLVO ORGANICO;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J67;10;A
J679;NEUMONITIS DEBIDA A HIPERSENSIBILIDAD A POLVO ORGANICO NO ESPECIFICADO;NEUMONITIS DEBIDA A HIPERSENSIBILIDAD AL POLVO ORGANICO;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J67;10;A
J680;BRONQUITIS Y NEUMONITIS DEBIDAS A INHALACION DE GASES-HUMOS-VAPORES Y SUSTANCIAS QUIMICAS;AFECCIONES RESPIRATORIAS DEBIDAS A INHALACION DE GASES-HUMOS-VAPORES Y SUSTANCIAS QUIMICAS;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J68;10;A
J681;EDEMA PULMONAR AGUDO DEBIDO A INHALACION DE GASES-HUMOS-VAPORES Y SUSTANCIAS QUIMICAS;AFECCIONES RESPIRATORIAS DEBIDAS A INHALACION DE GASES-HUMOS-VAPORES Y SUSTANCIAS QUIMICAS;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J68;10;A
J682;INFLAMACION RESPIRATORIA SUPERIOR DEBIDA A INHALACION DE GASES-HUMOS-VAPORES Y SUSTANCIAS QUIMICAS-NO CLASIFICADAS EN OTRA PARTE;AFECCIONES RESPIRATORIAS DEBIDAS A INHALACION DE GASES-HUMOS-VAPORES Y SUSTANCIAS QUIMICAS;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J68;10;A
J683;OTRAS AFECCIONES RESPIRATORIAS AGUDAS Y SUBAGUDAS DEBIDAS A INHALACION DE GASES-HUMOS-VAPORES Y SUSTANCIAS QUIMICAS;AFECCIONES RESPIRATORIAS DEBIDAS A INHALACION DE GASES-HUMOS-VAPORES Y SUSTANCIAS QUIMICAS;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J68;10;A
J684;AFECCIONES RESPIRATORIAS CRONICAS DEBIDAS A INHALACION DE GASES-HUMOS-VAPORES Y SUSTANCIAS QUIMICAS;AFECCIONES RESPIRATORIAS DEBIDAS A INHALACION DE GASES-HUMOS-VAPORES Y SUSTANCIAS QUIMICAS;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J68;10;A
J688;OTRAS AFECCIONES RESPIRATORIAS DEBIDAS A INHALACION DE GASES-HUMOS-VAPORES Y SUSTANCIAS QUIMICAS;AFECCIONES RESPIRATORIAS DEBIDAS A INHALACION DE GASES-HUMOS-VAPORES Y SUSTANCIAS QUIMICAS;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J68;10;A
J689;AFECCION RESPIRATORIA NO ESPECIFICADA-DEBIDA A INHALACION DE GASES-HUMOS-VAPORES Y SUSTANCIAS QUIMICAS;AFECCIONES RESPIRATORIAS DEBIDAS A INHALACION DE GASES-HUMOS-VAPORES Y SUSTANCIAS QUIMICAS;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J68;10;A
J690;NEUMONITIS DEBIDA A ASPIRACION DE ALIMENTO O VOMITO;NEUMONITIS DEBIDA  A SOLIDOS Y LIQUIDOS;3;0;120;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J69;10;A
J691;NEUMONITIS DEBIDA A ASPIRACION DE ACEITES Y ESENCIAS;NEUMONITIS DEBIDA  A SOLIDOS Y LIQUIDOS;3;0;120;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J69;10;A
J698;NEUMONITIS DEBIDA A ASPIRACION DE OTROS SOLIDOS Y LIQUIDOS;NEUMONITIS DEBIDA  A SOLIDOS Y LIQUIDOS;3;0;120;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J69;10;A
J700;MANIFESTACIONES PULMONARES AGUDAS DEBIDAS A RADIACION;AFECCIONES RESPIRATORIAS DEBIDAS A OTROS AGENTES EXTERNOS;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J70;10;A
J701;MANIFESTACIONES PULMONARES CRONICAS Y OTRAS MANIFESTACIONES DEBIDAS A RADIACION;AFECCIONES RESPIRATORIAS DEBIDAS A OTROS AGENTES EXTERNOS;3;0;120;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J70;10;A
J702;TRASTORNOS PULMONARES INTERSTICIALES AGUDOS INDUCIDOS POR DROGAS;AFECCIONES RESPIRATORIAS DEBIDAS A OTROS AGENTES EXTERNOS;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J70;10;A
J703;TRASTORNOS PULMONARES INTERSTICIALES CRONICOS INDUCIDOS POR DROGAS;AFECCIONES RESPIRATORIAS DEBIDAS A OTROS AGENTES EXTERNOS;3;0;120;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J70;10;A
J704;TRASTORNOS PULMONARES INTERSTICIALES NO ESPECIFICADOS INDUCIDOS POR DROGAS;AFECCIONES RESPIRATORIAS DEBIDAS A OTROS AGENTES EXTERNOS;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J70;10;A
J708;AFECCIONES RESPIRATORIAS DEBIDAS A OTROS AGENTES EXTERNOS ESPECIFICADOS;AFECCIONES RESPIRATORIAS DEBIDAS A OTROS AGENTES EXTERNOS;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J70;10;A
J709;AFECCIONES RESPIRATORIAS DEBIDAS A AGENTES EXTERNOS NO ESPECIFICADOS;AFECCIONES RESPIRATORIAS DEBIDAS A OTROS AGENTES EXTERNOS;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J70;10;A
J80X;SINDROME DE DIFICULTAD RESPIRATORIA DEL ADULTO;SINDROME DE DIFICULTAD RESPIRATORIA DEL ADULTO;3;0;120;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J80;10;A
J81X;EDEMA PULMONAR;EDEMA PULMONAR;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J81;10;A
J82X;EOSINOFILIA PULMONAR-NO CLASIFICADA EN OTRA PARTE;EOSINOFILIA PULMONAR NO CLASIFICADA EN OTRA PARTE;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J82;10;A
J840;AFECCIONES ALVEOLARES Y ALVEOLOPARIETALES;OTRAS ENFERMEDADES PULMONARES INTERSTICIALES;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J84;10;A
J841;OTRAS ENFERMEDADES PULMONARES INTERSTICIALES CON FIBROSIS;OTRAS ENFERMEDADES PULMONARES INTERSTICIALES;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J84;10;A
J848;OTRAS ENFERMEDADES PULMONARES INTERSTICIALES ESPECIFICADAS;OTRAS ENFERMEDADES PULMONARES INTERSTICIALES;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J84;10;A
J849;ENFERMEDAD PULMONAR INTERSTICIAL-NO ESPECIFICADA;OTRAS ENFERMEDADES PULMONARES INTERSTICIALES;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J84;10;A
J850;GANGRENA Y NECROSIS DEL PULMON;ABSCESO DEL PULMON Y DEL MEDIASTINO;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J85;10;A
J851;ABSCESO DEL PULMON CON NEUMONIA;ABSCESO DEL PULMON Y DEL MEDIASTINO;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J85;10;A
J852;ABSCESO DEL PULMON SIN NEUMONIA;ABSCESO DEL PULMON Y DEL MEDIASTINO;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J85;10;A
J853;ABSCESO DEL MEDIASTINO;ABSCESO DEL PULMON Y DEL MEDIASTINO;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J85;10;A
J860;PIOTORAX CON FISTULA;PIOTORAX;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J86;10;A
J869;PIOTORAX SIN FISTULA;PIOTORAX;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J86;10;A
J90X;DERRAME PLEURAL NO CLASIFICADO EN OTRA PARTE;DERRAME PLEURAL NO CLASIFICADO EN OTRA PARTE;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J90;10;A
J91X;DERRAME PLEURAL EN AFECCIONES CLASIFICADAS EN OTRA PARTE;DERRAME PLEURAL EN AFECCIONES CLASIFICADAS EN OTRA PARTE;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J91;10;A
J920;PAQUIPLEURITIS CON ASBESTOSIS;PAQUIPLEURITIS;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J92;10;A
J929;PAQUIPLEURITIS SIN ASBESTOSIS;PAQUIPLEURITIS;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J92;10;A
J930;NEUMOTORAX ESPONTANEO A PRESION;NEUMOTORAX;3;0;120;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J93;10;A
J931;OTROS TIPOS DE NEUMOTORAX ESPONTANEO;NEUMOTORAX;3;0;120;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J93;10;A
J938;OTROS NEUMOTORAX;NEUMOTORAX;3;0;120;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J93;10;A
J939;NEUMOTORAX-NO ESPECIFICADO;NEUMOTORAX;3;0;120;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J93;10;A
J940;QUILOTORAX;OTRAS AFECCIONES DE LA PLEURA;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J94;10;A
J941;FIBROTORAX;OTRAS AFECCIONES DE LA PLEURA;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J94;10;A
J942;HEMOTORAX;OTRAS AFECCIONES DE LA PLEURA;3;0;120;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J94;10;A
J948;OTRAS AFECCIONES ESPECIFICADAS DE LA PLEURA;OTRAS AFECCIONES DE LA PLEURA;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J94;10;A
J949;AFECCION PLEURAL-NO ESPECIFICADA;OTRAS AFECCIONES DE LA PLEURA;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J94;10;A
J950;FUNCIONAMIENTO DEFECTUOSO DE LA TRAQUEOSTOMIA;TRASTORNOS DEL SISTEMA RESPIRATORIO-CONSECUTIVOS A PROCEDIMIENTOS NO CLASIFICADOS EN OTRA PARTE;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J95;10;A
J951;INSUFICIENCIA PULMONAR AGUDA CONSECUTIVA A CIRUGIA TORACICA;TRASTORNOS DEL SISTEMA RESPIRATORIO-CONSECUTIVOS A PROCEDIMIENTOS NO CLASIFICADOS EN OTRA PARTE;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J95;10;A
J952;INSUFICIENCIA PULMONAR AGUDA CONSECUTIVA DEBIDA A CIRUGIA EXTRATORACICA;TRASTORNOS DEL SISTEMA RESPIRATORIO-CONSECUTIVOS A PROCEDIMIENTOS NO CLASIFICADOS EN OTRA PARTE;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J95;10;A
J953;INSUFICIENCIA PULMONAR CRONICA CONSECUTIVA A CIRUGIA;TRASTORNOS DEL SISTEMA RESPIRATORIO-CONSECUTIVOS A PROCEDIMIENTOS NO CLASIFICADOS EN OTRA PARTE;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J95;10;A
J954;SINDROME DE MENDELSON;TRASTORNOS DEL SISTEMA RESPIRATORIO-CONSECUTIVOS A PROCEDIMIENTOS NO CLASIFICADOS EN OTRA PARTE;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J95;10;A
J955;ESTENOSIS SUBGLOTICA CONSECUTIVA A PROCEDIMIENTOS;TRASTORNOS DEL SISTEMA RESPIRATORIO-CONSECUTIVOS A PROCEDIMIENTOS NO CLASIFICADOS EN OTRA PARTE;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J95;10;A
J958;OTROS TRASTORNOS RESPIRATORIOS CONSECUTIVOS A PROCEDIMIENTOS;TRASTORNOS DEL SISTEMA RESPIRATORIO-CONSECUTIVOS A PROCEDIMIENTOS NO CLASIFICADOS EN OTRA PARTE;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J95;10;A
J959;TRASTORNO NO ESPECIFICADO DEL SISTEMA RESPIRATORIO-CONSECUTIVO A PROCEDIMIENTOS;TRASTORNOS DEL SISTEMA RESPIRATORIO-CONSECUTIVOS A PROCEDIMIENTOS NO CLASIFICADOS EN OTRA PARTE;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J95;10;A
J960;INSUFICIENCIA RESPIRATORIA AGUDA;INSUFICIENCIA RESPIRATORIA NO CLASIFICADAS EN OTRA PARTE;3;0;120;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J96;10;A
J961;INSUFICIENCIA RESPIRATORIA CRONICA;INSUFICIENCIA RESPIRATORIA NO CLASIFICADAS EN OTRA PARTE;3;0;120;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J96;10;A
J969;INSUFICIENCIA RESPIRATORIA-NO ESPECIFICADA;INSUFICIENCIA RESPIRATORIA NO CLASIFICADAS EN OTRA PARTE;3;0;120;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J96;10;A
J980;ENFERMEDADES DE LA TRAQUEA Y DE LOS BRONQUIOS-NO CLASIFICADAS EN OTRA PARTE;OTROS TRASTORNOS RESPIRATORIOS;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J98;10;A
J981;COLAPSO PULMONAR;OTROS TRASTORNOS RESPIRATORIOS;3;0;120;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J98;10;A
J982;ENFISEMA INTERSTICIAL;OTROS TRASTORNOS RESPIRATORIOS;3;0;120;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J98;10;A
J983;ENFISEMA COMPENSATORIO;OTROS TRASTORNOS RESPIRATORIOS;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J98;10;A
J984;OTROS TRASTORNOS DEL PULMON;OTROS TRASTORNOS RESPIRATORIOS;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J98;10;A
J985;ENFERMEDADES DEL MEDIASTINO-NO CLASIFICADAS EN OTRA PARTE;OTROS TRASTORNOS RESPIRATORIOS;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J98;10;A
J986;TRASTORNOS DEL DIAFRAGMA;OTROS TRASTORNOS RESPIRATORIOS;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J98;10;A
J987;INFECCIONES RESPIRATORIAS-NO CLASIFICADAS EN OTRA PARTE;OTROS TRASTORNOS RESPIRATORIOS;3;0;100;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J98;10;A
J988;OTROS TRASTORNOS RESPIRATORIOS ESPECIFICADOS;OTROS TRASTORNOS RESPIRATORIOS;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J98;10;A
J989;TRASTORNO RESPIRATORIO-NO ESPECIFICADO;OTROS TRASTORNOS RESPIRATORIOS;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J98;10;A
J990;ENFERMEDAD PULMONAR REUMATOIDE;TRASTORNOS RESPIRATORIOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J99;10;A
J991;TRASTORNOS RESPIRATORIOS EN OTROS TRASTORNOS DIFUSOS DEL TEJIDO CONJUNTIVO;TRASTORNOS RESPIRATORIOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J99;10;A
J998;TRASTORNOS RESPIRATORIOS EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE;TRASTORNOS RESPIRATORIOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;3;0;999;10;ENFERMEDADES DEL SISTEMA RESPIRATORIO (J00-J99);J99;10;A
K000;ANODONCIA;TRASTORNOS DEL DESARROLLO Y DE LA ERUPCION DE LOS DIENTES;3;0;120;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K00;11;A
K001;DIENTES SUPERNUMERARIOS;TRASTORNOS DEL DESARROLLO Y DE LA ERUPCION DE LOS DIENTES;3;0;120;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K00;11;A
K002;ANOMALIAS DEL TAMANO Y DE LA FORMA DEL DIENTE;TRASTORNOS DEL DESARROLLO Y DE LA ERUPCION DE LOS DIENTES;3;0;120;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K00;11;A
K003;DIENTES MOTEADOS;TRASTORNOS DEL DESARROLLO Y DE LA ERUPCION DE LOS DIENTES;3;0;120;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K00;11;A
K004;ALTERACIONES EN LA FORMACION DENTARIA;TRASTORNOS DEL DESARROLLO Y DE LA ERUPCION DE LOS DIENTES;3;0;25;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K00;11;A
K005;ALTERACIONES HEREDITARIAS DE LA ESTRUCTURA DENTARIA-NO CLASIFICADAS EN OTRA PARTE;TRASTORNOS DEL DESARROLLO Y DE LA ERUPCION DE LOS DIENTES;3;0;999;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K00;11;A
K006;ALTERACIONES EN LA ERUPCION DENTARIA;TRASTORNOS DEL DESARROLLO Y DE LA ERUPCION DE LOS DIENTES;3;0;25;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K00;11;A
K007;SINDROME DE LA ERUPCION DENTARIA;TRASTORNOS DEL DESARROLLO Y DE LA ERUPCION DE LOS DIENTES;3;0;25;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K00;11;A
K008;OTROS TRASTORNOS DEL DESARROLLO DE LOS DIENTES;TRASTORNOS DEL DESARROLLO Y DE LA ERUPCION DE LOS DIENTES;3;0;25;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K00;11;A
K009;TRASTORNO DEL DESARROLLO DE LOS DIENTES-NO ESPECIFICADO;TRASTORNOS DEL DESARROLLO Y DE LA ERUPCION DE LOS DIENTES;3;0;25;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K00;11;A
K010;DIENTES INCLUIDOS;DIENTES INCLUIDOS E IMPACTADOS;3;0;120;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K01;11;A
K011;DIENTES IMPACTADOS;DIENTES INCLUIDOS E IMPACTADOS;3;0;120;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K01;11;A
K020;CARIES LIMITADA AL ESMALTE;CARIES DENTAL;3;0;120;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K02;11;A
K021;CARIES DE LA DENTINA;CARIES DENTAL;3;0;120;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K02;11;A
K022;CARIES DEL CEMENTO;CARIES DENTAL;3;0;120;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K02;11;A
K023;CARIES DENTARIA DETENIDA;CARIES DENTAL;3;0;120;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K02;11;A
K024;ODONTOCLASIA;CARIES DENTAL;3;0;120;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K02;11;A
K025;CARIES CON EXPOSICION PULPAR;CARIES DENTAL;3;0;120;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K02;11;A
K028;OTRAS CARIES DENTALES;CARIES DENTAL;3;0;120;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K02;11;A
K029;CARIES DENTAL-NO ESPECIFICADA;CARIES DENTAL;3;0;120;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K02;11;A
K030;ATRICION EXCESIVA DE LOS DIENTES;OTRAS ENFERMEDADES DE LOS TEJIDOS DUROS DE LOS DIENTES;3;0;120;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K03;11;A
K031;ABRASION DE LOS DIENTES;OTRAS ENFERMEDADES DE LOS TEJIDOS DUROS DE LOS DIENTES;3;0;120;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K03;11;A
K032;EROSION DE LOS DIENTES;OTRAS ENFERMEDADES DE LOS TEJIDOS DUROS DE LOS DIENTES;3;0;120;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K03;11;A
K033;REABSORCION PATOLOGICA DE LOS DIENTES;OTRAS ENFERMEDADES DE LOS TEJIDOS DUROS DE LOS DIENTES;3;0;120;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K03;11;A
K034;HIPERCEMENTOSIS;OTRAS ENFERMEDADES DE LOS TEJIDOS DUROS DE LOS DIENTES;3;0;120;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K03;11;A
K035;ANQUILOSIS DENTAL;OTRAS ENFERMEDADES DE LOS TEJIDOS DUROS DE LOS DIENTES;3;0;120;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K03;11;A
K036;DEPOSITOS [ACRECIONES] EN LOS DIENTES;OTRAS ENFERMEDADES DE LOS TEJIDOS DUROS DE LOS DIENTES;3;0;120;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K03;11;A
K037;CAMBIOS POSTERUPTIVOS DEL COLOR DE LOS TEJIDOS DENTALES DUROS;OTRAS ENFERMEDADES DE LOS TEJIDOS DUROS DE LOS DIENTES;3;0;120;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K03;11;A
K038;OTRAS ENFERMEDADES ESPECIFICADAS DE LOS TEJIDOS DUROS DE LOS DIENTES;OTRAS ENFERMEDADES DE LOS TEJIDOS DUROS DE LOS DIENTES;3;0;120;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K03;11;A
K039;ENFERMEDAD NO ESPECIFICADA DE LOS TEJIDOS DENTALES DUROS;OTRAS ENFERMEDADES DE LOS TEJIDOS DUROS DE LOS DIENTES;3;0;120;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K03;11;A
K040;PULPITIS;ENFERMEDADES DE LA PULPA Y DE LOS TEJIDOS PERIAPICALES;3;0;120;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K04;11;A
K041;NECROSIS DE LA PULPA;ENFERMEDADES DE LA PULPA Y DE LOS TEJIDOS PERIAPICALES;3;0;120;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K04;11;A
K042;DEGENERACION DE LA PULPA;ENFERMEDADES DE LA PULPA Y DE LOS TEJIDOS PERIAPICALES;3;0;120;11;ENFERMEDADES DEL SISTEMA DIGESTIVO (K00-K93);K04;11;A
